step_number	time	timestep	I_lya	inc_photon_flux	nH_boundary	H1_IF_x	H1_IF_v	HI_IF_v_flxMthd	He1_IF_x	He1_IF_v	He3_IF_x	He3_IF_v	width_IF
12240 	2.891592e+01 	3.987871e-03 	1.189513e-08 	3.647729e+04 	2.133744e-04 	3.097351e+25 	1.866949e+08 	1.574597e+08 	3.098441e+25 	1.734985e+08 	0.000000e+00 	0.000000e+00 	1.510636e+22 	
12369 	2.931799e+01 	3.844054e-03 	1.192681e-08 	3.644358e+04 	2.135178e-04 	3.097588e+25 	1.871139e+08 	1.572099e+08 	3.098649e+25 	1.637755e+08 	0.000000e+00 	0.000000e+00 	1.491323e+22 	
12495 	2.972139e+01 	3.583461e-03 	1.198019e-08 	3.642375e+04 	2.143787e-04 	3.097824e+25 	1.870307e+08 	1.564971e+08 	3.098844e+25 	1.537643e+08 	0.000000e+00 	0.000000e+00 	1.462351e+22 	
12596 	3.012179e+01 	4.385204e-03 	1.205861e-08 	3.639019e+04 	2.173083e-04 	3.098057e+25 	1.834825e+08 	1.542567e+08 	3.099024e+25 	1.426896e+08 	0.000000e+00 	0.000000e+00 	1.422143e+22 	
12724 	3.052212e+01 	4.002707e-03 	1.216391e-08 	3.635600e+04 	2.247061e-04 	3.098283e+25 	1.786927e+08 	1.490640e+08 	3.099192e+25 	1.323266e+08 	0.000000e+00 	0.000000e+00 	1.369337e+22 	
12843 	3.092372e+01 	3.408556e-03 	1.228647e-08 	3.632813e+04 	2.375783e-04 	3.098500e+25 	1.708877e+08 	1.409180e+08 	3.099350e+25 	1.249749e+08 	0.000000e+00 	0.000000e+00 	1.301015e+22 	
12946 	3.132556e+01 	4.339015e-03 	1.242166e-08 	3.625459e+04 	2.542465e-04 	3.098705e+25 	1.617809e+08 	1.314546e+08 	3.099497e+25 	1.161735e+08 	0.000000e+00 	0.000000e+00 	1.223061e+22 	
13062 	3.172720e+01 	3.627978e-03 	1.256992e-08 	3.617410e+04 	2.730667e-04 	3.098895e+25 	1.507173e+08 	1.221608e+08 	3.099631e+25 	1.057866e+08 	0.000000e+00 	0.000000e+00 	1.165840e+22 	
13162 	3.213049e+01 	4.498818e-03 	1.271952e-08 	3.605456e+04 	2.940498e-04 	3.099075e+25 	1.416682e+08 	1.131030e+08 	3.099759e+25 	1.005754e+08 	0.000000e+00 	0.000000e+00 	1.094074e+22 	
13268 	3.253153e+01 	3.307366e-03 	1.285969e-08 	3.591910e+04 	3.156130e-04 	3.099236e+25 	1.269566e+08 	1.050081e+08 	3.099872e+25 	8.975155e+07 	0.000000e+00 	0.000000e+00 	1.027542e+22 	
13370 	3.293182e+01 	4.396940e-03 	1.301020e-08 	3.560155e+04 	3.395811e-04 	3.099386e+25 	1.188740e+08 	9.676040e+07 	3.099983e+25 	8.749612e+07 	0.000000e+00 	0.000000e+00 	9.561378e+21 	
13451 	3.333565e+01 	5.833531e-03 	1.314572e-08 	3.532775e+04 	3.681273e-04 	3.099533e+25 	1.156614e+08 	8.859492e+07 	3.100084e+25 	7.913706e+07 	0.000000e+00 	0.000000e+00 	9.148504e+21 	
13567 	3.373784e+01 	4.092703e-03 	1.330889e-08 	3.543491e+04 	3.941554e-04 	3.099655e+25 	9.671737e+07 	8.301104e+07 	3.100183e+25 	7.842823e+07 	0.000000e+00 	0.000000e+00 	8.735951e+21 	
13655 	3.413992e+01 	5.218728e-03 	1.345877e-08 	3.491982e+04 	4.310019e-04 	3.099782e+25 	1.002452e+08 	7.483137e+07 	3.100274e+25 	7.165736e+07 	0.000000e+00 	0.000000e+00 	8.162682e+21 	
13744 	3.453912e+01 	3.117154e-03 	1.354757e-08 	3.494847e+04 	4.611185e-04 	3.099885e+25 	8.134106e+07 	7.001264e+07 	3.100360e+25 	6.829851e+07 	0.000000e+00 	0.000000e+00 	7.849452e+21 	
13844 	3.494018e+01 	4.540544e-03 	1.375959e-08 	3.475063e+04 	4.976725e-04 	3.099998e+25 	8.877447e+07 	6.451486e+07 	3.100448e+25 	6.963865e+07 	0.000000e+00 	0.000000e+00 	7.594064e+21 	
13922 	3.534235e+01 	6.045036e-03 	1.380200e-08 	3.447804e+04 	5.264883e-04 	3.100086e+25 	6.995662e+07 	6.051355e+07 	3.100528e+25 	6.266703e+07 	0.000000e+00 	0.000000e+00 	7.497598e+21 	
14015 	3.574683e+01 	3.913924e-03 	1.395251e-08 	3.404594e+04 	5.579669e-04 	3.100189e+25 	8.070560e+07 	5.639174e+07 	3.100612e+25 	6.620220e+07 	0.000000e+00 	0.000000e+00 	6.972812e+21 	
14107 	3.614868e+01 	4.896023e-03 	1.413144e-08 	3.441016e+04 	5.825550e-04 	3.100270e+25 	6.429273e+07 	5.459268e+07 	3.100693e+25 	6.392233e+07 	0.000000e+00 	0.000000e+00 	7.287790e+21 	
14178 	3.654620e+01 	6.631744e-03 	1.409609e-08 	3.269689e+04 	6.059024e-04 	3.100350e+25 	6.319348e+07 	4.988349e+07 	3.100766e+25 	5.810806e+07 	0.000000e+00 	0.000000e+00 	6.682654e+21 	
14179 	3.655283e+01 	6.674241e-03 	1.409653e-08 	3.265715e+04 	6.062944e-04 	3.100352e+25 	1.391996e+06 	4.979081e+07 	3.100767e+25 	9.563955e+05 	0.000000e+00 	0.000000e+00 	6.657762e+21 	
14274 	3.694976e+01 	4.178314e-03 	1.428018e-08 	3.410998e+04 	6.257859e-04 	3.100440e+25 	6.921432e+07 	5.038502e+07 	3.100849e+25 	6.413105e+07 	0.000000e+00 	0.000000e+00 	6.866832e+21 	
14361 	3.735179e+01 	5.183200e-03 	1.440622e-08 	3.361871e+04 	6.412582e-04 	3.100509e+25 	5.494209e+07 	4.846427e+07 	3.100927e+25 	6.217756e+07 	0.000000e+00 	0.000000e+00 	7.099597e+21 	
14429 	3.775725e+01 	7.124282e-03 	1.434758e-08 	3.220103e+04 	6.555243e-04 	3.100589e+25 	6.276496e+07 	4.541495e+07 	3.101001e+25 	5.837052e+07 	0.000000e+00 	0.000000e+00 	6.490417e+21 	
14532 	3.815359e+01 	4.445962e-03 	1.449790e-08 	3.382797e+04 	6.624246e-04 	3.100670e+25 	6.389362e+07 	4.720971e+07 	3.101083e+25 	6.470416e+07 	0.000000e+00 	0.000000e+00 	6.866617e+21 	
14614 	3.855676e+01 	5.536599e-03 	1.454794e-08 	3.314343e+04 	6.680568e-04 	3.100736e+25 	5.215143e+07 	4.586648e+07 	3.101162e+25 	6.228668e+07 	0.000000e+00 	0.000000e+00 	7.091576e+21 	
14677 	3.895998e+01 	7.696915e-03 	1.447433e-08 	3.175633e+04 	6.717305e-04 	3.100811e+25 	5.945962e+07 	4.370970e+07 	3.101237e+25 	5.875654e+07 	0.000000e+00 	0.000000e+00 	6.532103e+21 	
14787 	3.935906e+01 	4.715436e-03 	1.460094e-08 	3.353403e+04 	6.675554e-04 	3.100893e+25 	6.447581e+07 	4.644098e+07 	3.101322e+25 	6.765533e+07 	0.000000e+00 	0.000000e+00 	6.996000e+21 	
