Gas Data
Time: 0.000000e+00
radius	rho	ne	ne_prev	dne_dt	n_tot	dt	T	vel	nH1	fH1	fHeI	fHII	fHeII	fHeIII	j_lya
5374.494	1.3413072813682384e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	6.0945840353640055e-05	1.0	1.0	0.0	0.0	0.0	0.0
5375.231	1.3103898383455485e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.9541024639315813e-05	1.0	1.0	0.0	0.0	0.0	0.0
5375.968	1.2768358240068627e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.8016409340856196e-05	1.0	1.0	0.0	0.0	0.0	0.0
5376.705	1.2421224227759497e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.643911423559668e-05	1.0	1.0	0.0	0.0	0.0	0.0
5377.442	1.2078007376682305e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.48796177873934e-05	1.0	1.0	0.0	0.0	0.0	0.0
5378.179	1.1753787371100307e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.340643852607604e-05	1.0	1.0	0.0	0.0	0.0	0.0
5378.916	1.146199192155574e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.208058880238549e-05	1.0	1.0	0.0	0.0	0.0	0.0
5379.654	1.1212961778969252e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.0949054550380377e-05	1.0	1.0	0.0	0.0	0.0	0.0
5380.391	1.1014362313670917e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	5.004666540551241e-05	1.0	1.0	0.0	0.0	0.0	0.0
5381.128	1.0868682290268723e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.938472972736357e-05	1.0	1.0	0.0	0.0	0.0	0.0
5381.865	1.0774741943817057e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.895788694218397e-05	1.0	1.0	0.0	0.0	0.0	0.0
5382.602	1.0728019586232432e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.874559156543827e-05	1.0	1.0	0.0	0.0	0.0	0.0
5383.339	1.072191895104163e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.871787171752877e-05	1.0	1.0	0.0	0.0	0.0	0.0
5384.076	1.0749452697592848e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.884297856999708e-05	1.0	1.0	0.0	0.0	0.0	0.0
5384.813	1.0805079696182831e-28	0.0	0.0	0.0	0.0001086506	4.016064e-05	500.0	0.0	4.909573453594986e-05	1.0	1.0	0.0	0.0	0.0	0.0
