skewer,alpha,step,t,dt,F_lya,F_inc,locIF,vIF_fd,vIF_fm,T_center,width_IF,nH_avg,nH_center,C_em
0000,-1.0,24235.0,36.92394,0.003588183,36615.96,8875.304,335.58327932598877,8489.176,1843.767,28230.35,5.69908e+23,4.190771e-05,4.4297e-05,0.2780297
0000,-1.0,24436.0,37.31328,0.002442659,36691.41,8869.466,339.76344782890556,10413.23,2365.561,29852.68,5.672314e+23,4.206924e-05,3.444286e-05,0.2833819
0000,-1.0,24437.0,37.31572,0.002562272,36691.9,8869.283,339.795852235904,77.02232,2369.859,29865.02,5.672982e+23,4.206924e-05,3.437919e-05,0.2834297
0000,-1.0,24642.0,37.70764,0.002430454,36759.34,8862.036,345.2916396629953,13689.96,3118.845,31856.91,5.63189e+23,4.231012e-05,2.603601e-05,0.2895504
0000,-1.0,24852.0,38.10028,0.00367082,36817.08,8853.181,352.1289695398573,17034.87,3737.803,33302.91,5.602859e+23,4.248407e-05,2.165761e-05,0.2958807
0000,-1.0,25087.0,38.49204,0.000514064,36866.61,8849.026,359.60142579390777,18615.24,3954.244,33782.1,5.587662e+23,4.277076e-05,2.044758e-05,0.29571
0000,-1.0,25332.0,38.88607,0.001962764,36910.65,8839.925,367.03823720025866,18523.74,3630.035,33096.75,5.545814e+23,4.29686e-05,2.227529e-05,0.2942095
0000,-1.0,25556.0,39.27797,0.001039755,36948.75,8832.668,373.3732987686326,15784.58,3059.652,31772.01,5.522324e+23,4.319697e-05,2.645703e-05,0.2892642
0000,-1.0,25763.0,39.67062,0.001167721,36978.84,8822.935,378.801036941024,13517.72,2653.707,30736.43,5.497081e+23,4.342667e-05,3.051231e-05,0.2855959
0000,-1.0,25954.0,40.06502,0.002991061,36995.13,8810.611,383.73622812702524,12293.92,2436.463,30147.43,5.47167e+23,4.351164e-05,3.321074e-05,0.2855663
0000,-1.0,26131.0,40.45705,0.002085455,36990.3,8804.735,388.34737524303273,11486.29,2330.624,29847.37,5.445985e+23,4.371904e-05,3.470811e-05,0.2844213
0000,-1.0,26293.0,40.84879,0.003831147,36962.91,8799.483,392.8191834089448,11146.67,2250.268,29612.44,5.44513e+23,4.39535e-05,3.593578e-05,0.2820524
0000,-1.0,26450.0,41.2423,0.00424301,36919.17,8798.658,397.1062864549567,10678.4,2145.568,29292.66,5.424895e+23,4.410535e-05,3.769911e-05,0.2811157
0000,-1.0,26606.0,41.63585,0.004301855,36881.46,8799.866,401.1373946856784,10038.54,2015.13,28878.65,5.410065e+23,4.429073e-05,4.016246e-05,0.2786497
0000,-1.0,26761.0,42.02764,0.004143649,36880.91,8798.165,404.8801036941022,9323.986,1884.741,28449.52,5.402697e+23,4.430798e-05,4.295144e-05,0.2787333
0000,-1.0,26916.0,42.42271,0.003793208,36948.43,8792.607,408.4154244977308,8808.515,1774.02,28071.63,5.408196e+23,4.427545e-05,4.562028e-05,0.2775252
0000,-1.0,27069.0,42.81386,0.003112996,37099.11,8785.381,411.73687621516547,8276.159,1693.981,27788.94,5.430039e+23,4.401765e-05,4.774935e-05,0.2786799
0000,-1.0,27222.0,43.20596,0.002529444,37329.1,8777.55,414.9513933895014,8008.69,1644.809,27609.66,5.498447e+23,4.359128e-05,4.914111e-05,0.2795455
0000,-1.0,27378.0,43.59811,0.002754275,37610.92,8769.906,418.1237848347373,7898.114,1627.592,27543.37,5.58962e+23,4.296162e-05,4.962053e-05,0.2813839
0000,-1.0,27537.0,43.99332,0.003780497,37906.57,8762.887,421.33830200907323,8005.428,1644.642,27600.49,5.660502e+23,4.22099e-05,4.906401e-05,0.285784
0000,-1.0,27708.0,44.38425,0.001641976,38171.99,8759.134,424.5690213869093,8054.958,1700.282,27792.73,5.728144e+23,4.172017e-05,4.742927e-05,0.2886868
0000,-1.0,27889.0,44.77684,0.001810936,38388.04,8752.696,428.01360985093925,8575.243,1804.802,28151.58,5.772214e+23,4.142512e-05,4.463402e-05,0.2915376
0000,-1.0,28305.0,45.56421,0.003181899,38624.09,8737.111,435.87491898898224,19589.03,2186.707,29376.19,5.813656e+23,4.129336e-05,3.672604e-05,0.2962486
0000,-1.0,28557.0,45.95592,0.002495174,38647.6,8730.426,440.3499675955918,11144.67,2360.373,29892.69,5.79783e+23,4.131717e-05,3.397803e-05,0.2991814
0000,-1.0,28813.0,46.34791,0.00288146,38619.52,8722.222,444.89630589760236,11324.92,2308.323,29745.92,5.777658e+23,4.151026e-05,3.471762e-05,0.2983379
0000,-1.0,29047.0,46.74003,0.0004040728,38547.17,8716.89,449.0019442644207,10230.12,2047.072,28954.34,5.709053e+23,4.190299e-05,3.915877e-05,0.296082
0000,-1.0,29262.0,47.13265,0.001097907,38436.03,8707.817,452.5696694750495,8887.11,1755.17,27994.38,5.594777e+23,4.266629e-05,4.566845e-05,0.2930229
0000,-1.0,29452.0,47.52669,0.002926929,38289.38,8697.116,455.66104990278654,7702.009,1520.894,27151.63,5.458838e+23,4.375186e-05,5.267976e-05,0.2893991
0000,-1.0,29624.0,47.91808,0.00146869,38113.06,8689.872,458.35061568373385,6695.453,1353.484,26494.61,5.27852e+23,4.517413e-05,5.91795e-05,0.286993
0000,-1.0,29625.0,47.91955,0.00157137,38112.33,8689.732,458.36033700583175,25.62063,1352.896,26492.25,5.278807e+23,4.517413e-05,5.920439e-05,0.2869839
0000,-1.0,29788.0,48.3117,0.003638912,37909.77,8679.795,460.8198314970832,6127.025,1232.501,25987.67,5.125566e+23,4.652193e-05,6.493956e-05,0.2847293
0000,-1.0,29944.0,48.7065,0.004137319,37696.75,8674.934,463.10434219053786,5692.226,1149.117,25614.39,5.023195e+23,4.759723e-05,6.963223e-05,0.2811788
0000,-1.0,30098.0,49.09857,0.004152521,37502.79,8674.26,465.2495139338953,5341.689,1094.503,25354.96,4.926472e+23,4.842588e-05,7.311445e-05,0.2811531
0000,-1.0,30252.0,49.49241,0.004088028,37361.18,8673.731,467.32663642255284,5172.381,1062.015,25192.12,4.881536e+23,4.897278e-05,7.535473e-05,0.2797184
0000,-1.0,30405.0,49.88375,0.003868189,37306.62,8670.819,469.3519118600143,5049.07,1049.211,25121.77,4.838615e+23,4.944213e-05,7.625198e-05,0.2783959
0000,-1.0,30559.0,50.27793,0.003870425,37356.79,8665.119,471.3966299416734,5091.804,1055.182,25142.03,4.793709e+23,4.989987e-05,7.57691e-05,0.2795271
0000,-1.0,30713.0,50.66861,0.004171083,37503.17,8657.332,473.4607906675319,5143.541,1080.972,25256.95,4.74144e+23,5.036762e-05,7.388856e-05,0.2829602
0000,-1.0,30876.0,51.06046,0.0009573765,37711.98,8652.05,475.5930006480885,5312.778,1130.293,25476.73,4.703761e+23,5.086355e-05,7.060961e-05,0.284304
0000,-1.0,31045.0,51.45644,0.00400018,37943.97,8639.994,477.92287751134063,5806.301,1211.359,25834.18,4.66106e+23,5.135371e-05,6.577462e-05,0.2876159
0000,-1.0,31222.0,51.84735,0.003632854,38142.32,8631.677,480.4147764095924,6201.862,1333.297,26344.22,4.611183e+23,5.1877e-05,5.967727e-05,0.2909434
0000,-1.0,31401.0,52.24129,0.003810188,38281.54,8623.006,483.2501620220355,7066.174,1518.832,27071.48,4.557678e+23,5.228558e-05,5.230214e-05,0.296544
0000,-1.0,31579.0,52.63145,0.003912615,38345.73,8615.186,486.52624756966907,8157.681,1792.556,28052.4,4.523034e+23,5.284292e-05,4.423475e-05,0.2985488
0000,-1.0,31757.0,53.0266,0.003655058,38337.49,8607.879,490.51847051199,9944.616,2182.547,29307.7,4.486837e+23,5.327044e-05,3.62523e-05,0.3030058
0000,-1.0,31920.0,53.41691,0.000887857,38269.48,8603.881,495.2138690861957,11696.64,2592.99,30491.24,4.447969e+23,5.372869e-05,3.04577e-05,0.3066813
0000,-1.0,31921.0,53.4178,0.0009607463,38269.29,8603.788,495.2235904082954,31.20788,2593.757,30493.43,4.448094e+23,5.372869e-05,3.044829e-05,0.3066861
0000,-1.0,32083.0,53.81142,0.002208902,38159.54,8596.066,500.4569021386924,13036.89,2691.547,30770.13,4.409443e+23,5.442934e-05,2.930605e-05,0.3040616
0000,-1.0,32230.0,54.20338,0.001250379,38032.57,8591.06,505.22683084899654,11875.67,2350.708,29834.39,4.347327e+23,5.50339e-05,3.35742e-05,0.3010417
0000,-1.0,32372.0,54.59801,0.004587866,37912.44,8581.633,509.2449773169137,10009.04,1927.533,28547.08,4.286252e+23,5.573959e-05,4.095841e-05,0.2967283
0000,-1.0,32521.0,54.98963,0.003229867,37829.09,8576.505,512.504860661049,8128.158,1617.382,27488.34,4.224864e+23,5.674283e-05,4.883426e-05,0.2905093
0000,-1.0,32653.0,55.38444,0.004604603,37799.79,8567.985,515.3564484769922,7103.766,1404.717,26687.5,4.143164e+23,5.777958e-05,5.621166e-05,0.2889359
